a,b
DNMT1,1
SX2IP,1
TTK,1
CYP1B1,1
CX3CR1,0
MMP10,0
SEC14L3,0
MUC5B ,0
TNS3,0
PECI,0
ITM2A,0
MAOB,0
HLF,0
CCDC33,0
PDGFC,0
SLC6A16,0
TNS1,0
PLA1A,0
SULF1,0
CCND2,0
PLA2G10,1
CEACAM6,1
TMCC1,1
TLE1,1
SERPINB13,1
NQO1,1
PIR,1
UPK1B,1
GPX2,1
SRPX2,1
CEACAM5,1
TM4SF1,1
CEACAM5,1
CYP1B1,1
ALDH3A1,1
ACE2 ,1
FURIN,1
TMPRSS2,1
AHRR,1
CYP1B1,1
ALDH3A1,1
GDF15,1
CYP1A1,1
GPX2,1
SPP1,1
GPX2,1
MUC5AC,1
MUC5AC,1
CYP1B1,1
GPX2,1
ALDH3A1,1
CYP24A1(new biomarker),1
LGALS3,1
FURIN,1
ALDH3A1,1
GPX2,1
CYP1A1,1
CYP1B1,1
ALDH3A1,1
HDAC1,0
HDAC2,0
HDAC3,0
HDAC8,0
HDAC2,0
CYP1B1,1
FAM129B,1
A2M,1
ACKR3,0
ATHL1,0
CYP1A1,1
MKI67,1
ABCC3,1
HCAR3,1
IP6K3,1
LYPD3,1
CYP1B1 ,1
MUC5AC,1
MT1X,1
MT2A,1
PPP1R16B,1
RND3,1
SGK1,1
ZBRB16,1
AHRR,1
AKR1B10,0
AKR1C1,1
ALDH3A1,1
GPX2,1
NQO1,1
SLC7A11,1
TIMP3,1
TNFRSF19,1
UGT1A1,1
ALDH3A1,1
CYP1B1,1
MUC5AC,1
AKR1C2,1
AKR1B10,1
AKR1C1,1
NQO1,1
AKR,1
